allergensId,subsetId,allergenType
125001,767270007,Drug Class
159002,767270007,Drug Class
261000,404642006,Drug Class
336001,23295004,Drug Ingredient
363000,23295004,Drug Ingredient
395004,112133008,Drug Class
472007,418497006,Drug Class
648005,21847005,Drug
699003,263894008,Drug Class
860009,112133008,Drug Class
873008,373288007,Drug Class
925002,426722004,Drug Class
1018001,21847005,Drug
1166006,1166006,Drug
1171004,23295004,Drug Ingredient
1244009,23295004,Drug Ingredient
1269009,763805006,Drug Class
1336006,304275008,Drug Class
1394007,767270007,Drug Class
1450002,53041004,Food
1476002,404642006,Drug Class
1609002,767407009,Drug Ingredient
1668008,764147003,Drug Class
1793003,767403008,Chemical
1940007,112133008,Drug Class
1956002,372806008,Drug Class
2029004,23295004,Drug Ingredient
2100004,767407009,Drug Ingredient
2212007,23295004,Drug Ingredient
2249001,763805006,Drug Class
2573005,112133008,Drug Class
2878005,373700004,Drug Class
2880004,767178007,Drug
2913009,112133008,Drug Class
2958003,767513003,Drug Class
3031003,767108006,Drug Class
3066001,18220004,Drug Class
3087006,21847005,Drug
3136005,764147003,Drug Class
3225007,23295004,Drug Ingredient
3340007,387031005,Drug Ingredient
3378009,373253007,Drug Class
3379001,3379001,Drug Ingredient
3411008,767407009,Drug Ingredient
3597005,373254001,Drug Class
3672002,23295004,Drug Ingredient
3692009,767406000,Food
3693004,23295004,Drug Ingredient
3718001,255620007,Food
3823007,767621000,Drug Class
3829006,3829006,Drug Ingredient
3874004,404642006,Drug Class
3896005,3896005,Drug Class
3941003,35098001,Drug Class
4014000,372788003,Drug Class
4025009,372806008,Drug Class
4043008,373477003,Drug Class
4188007,23295004,Drug Ingredient
4200007,86922003,Drug Class
4203009,373253007,Drug Class
4218005,112133008,Drug Class
4423008,23295004,Drug Ingredient
4435007,767407009,Drug Ingredient
4480008,372788003,Drug Class
4534009,767164006,Drug Class
4700006,226916002,Food
4780009,372798009,Drug Class
4844003,18220004,Drug Class
4872005,767407009,Drug Ingredient
4986005,31539008,Drug Ingredient
5098005,21847005,Drug
5167005,767513003,Drug Class
5220000,5220000,Drug Ingredient
5289002,86922003,Drug Class
5312000,767513003,Drug Class
5513006,112133008,Drug Class
5537006,112133008,Drug Class
5540006,767178007,Drug
5681006,764147003,Drug Class
5691000,373531009,Drug Class
5739006,372679000,Drug Class
5767002,372788003,Drug Class
5896008,86922003,Drug Class
5955009,53041004,Food
5989005,112133008,Drug Class
6054001,372806008,Drug Class
6237004,123682001,Drug Class
6249003,767406000,Food
6257000,767403008,Chemical
6495008,23295004,Drug Ingredient
6513000,860766002,Drug Class
6524003,53041004,Food
6611005,53041004,Food
6699008,767464004,Drug Class
6702001,767407009,Drug Ingredient
6808006,767270007,Drug Class
6837005,418000008,Drug Class
6854002,767362004,Drug Class
6865007,255637000,Drug Class
6873003,764147003,Drug Class
6992002,767621000,Drug Class
7070008,86922003,Drug Class
7084003,23295004,Drug Ingredient
7284008,767407009,Drug Ingredient
7325009,767178007,Drug
7327001,767407009,Drug Ingredient
7382005,53041004,Food
7434003,767403008,Chemical
7509000,387168006,Drug Ingredient
7549008,23295004,Drug Ingredient
7608003,53041004,Food
7661006,735971005,Drug Ingredient
7774008,87708000,Drug
7791007,256355007,Drug Ingredient
7816005,372806008,Drug Class
7924004,304275008,Drug Class
7975001,372656001,Drug Class
7983007,767403008,Chemical
7985000,767407009,Drug Ingredient
8030004,8030004,Drug Ingredient
8132009,31539008,Drug Ingredient
8143001,87708000,Drug
8153000,123682001,Drug Class
8156008,112133008,Drug Class
8184003,86922003,Drug Class
8237006,21847005,Drug
8252004,860766002,Drug Class
8261004,767407009,Drug Ingredient
8300003,53041004,Food
8365006,21847005,Drug
8450009,21847005,Drug
8689007,763805006,Drug Class
8701002,372788003,Drug Class
9052001,21847005,Drug
9174005,23295004,Drug Ingredient
9220005,21847005,Drug
9271007,23295004,Drug Ingredient
9315007,21847005,Drug
9396007,767270007,Drug Class
9457002,23295004,Drug Ingredient
9471005,53041004,Food
9539001,767407009,Drug Ingredient
9663002,767621000,Drug Class
9676008,23295004,Drug Ingredient
9910008,116613007,Drug
9955001,21847005,Drug
10020007,372679000,Drug Class
10039002,767164006,Drug Class
10109009,23295004,Drug Ingredient
10133003,373280000,Drug Class
10192006,26351002,Drug Class
10202007,26351002,Drug Class
10270000,428787002,Drug Class
10424009,372576002,Drug Class
10471003,23295004,Drug Ingredient
10595003,372622007,Drug Class
10682002,23295004,Drug Ingredient
10730008,764146007,Drug Class
10751006,763805006,Drug Class
10767000,259296007,Drug
10827009,10827009,Drug Ingredient
10938008,767407009,Drug Ingredient
11038000,21847005,Drug
11066008,767407009,Drug Ingredient
11151008,112133008,Drug Class
11170003,21847005,Drug
11264004,767407009,Drug Ingredient
11447000,112133008,Drug Class
11462003,303530004,Environmental
11473005,860766002,Drug Class
11504003,771384007,Drug Class
11633008,372665008,Drug Class
11644000,764146007,Drug Class
11699009,21847005,Drug
11702002,11702002,Drug Ingredient
11943009,373288007,Drug Class
11986009,764146007,Drug Class
11996000,767362004,Drug Class
12015000,31539008,Drug Ingredient
12171001,21847005,Drug
12177002,372622007,Drug Class
12433001,767407009,Drug Ingredient
12502001,21847005,Drug
12503006,767108006,Drug Class
12716009,767108006,Drug Class
12801003,426722004,Drug Class
12821002,372806008,Drug Class
12878005,767407009,Drug Ingredient
12930006,259296007,Drug
12970004,372700007,Drug Class
13006004,21847005,Drug
13030002,300961004,Drug Class
13188003,763805006,Drug Class
13195007,112133008,Drug Class
13342004,259296007,Drug
13502005,372633005,Drug Class
13531009,53041004,Food
13577000,13577000,Food
13585009,764147003,Drug Class
13718001,112133008,Drug Class
13722006,86922003,Drug Class
13789000,263894008,Drug Class
13952009,21847005,Drug
14213001,767178007,Drug
14263006,735971005,Drug Ingredient
14312008,87708000,Drug
14349002,23295004,Drug Ingredient
14438009,764146007,Drug Class
14443002,763805006,Drug Class
14461006,767108006,Drug Class
14638000,372798009,Drug Class
14645000,767513003,Drug Class
15009009,300961004,Drug Class
15129007,767513003,Drug Class
15248000,71463006,Drug Ingredient
15352003,123682001,Drug Class
15571002,764146007,Drug Class
15623007,21847005,Drug
15660006,414355008,Drug Class
15698006,32824001,Drug Class
15752001,112133008,Drug Class
15826002,21847005,Drug
15895007,23295004,Drug Ingredient
15901005,23295004,Drug Ingredient
16106007,372788003,Drug Class
16130009,416394007,Drug Ingredient
16257000,373227004,Drug Class
16285003,255637000,Drug Class
16359004,372788003,Drug Class
16392005,300961004,Drug Class
16482003,767407009,Drug Ingredient
16492006,764146007,Drug Class
16613008,26351002,Drug Class
16808006,373288007,Drug Class
17008002,372656001,Drug Class
