findingId,situationId
3723001,431956005
4089001,772165002
4556007,413241009
4834000,772154007
7573000,428655008
8531006,162594009
14168008,722545003
14189004,772152006
14448006,787772009
15167005,415685003
16402000,428485006
16541001,772162004
16726004,717781006
23502006,714327004
24700007,700409000
27836007,772146005
30242009,772157000
32895009,700102000
35489007,473126001
36171008,1081901000112109
36653000,772212002
36989005,772145009
37109004,707860005
38341003,417312002
38362002,418429061000132101
40733004,473130003
40930008,473124003
50043002,394966004
50239007,697959002
55184003,439597005
55680006,473128000
56265001,394886001
56717001,772170009
58750007,772161006
58849003,871484007
59282003,417113001
61462000,772168000
63650001,772160007
67924001,772159002
68566005,314940005
69588003,718311001
70995007,866224009
73211009,473127005
74345006,408337004
75065003,428300000
75258004,394988004
75478009,406136005
75702008,772163009
76272004,371397000
76902006,772153001
81004002,772148006
84114007,394887005
84757009,407625007
85904008,772164003
89765005,697956009
93143009,315262009
95921002,697957000
95922009,700254002
105629000,240592007
111407006,772169008
118600007,315264005
118940003,407624006
125670008,787771002
126952004,315263004
128049000,427261003
128053003,432805000
128596003,429244009
128937004,734930006
129836000,697958005
158094009,700255001
186747009,700217006
188192002,315267003
190905008,428301001
192970008,782387008
195889001,772166001
195967001,394967008
199547006,609425002
199553006,609422004
199558002,609421006
199616008,309738002
202821008,430187003
205791004,609418009
225820007,771385008
225824003,697949003
225826001,702579009
235919008,390926006
238079002,698600006
240523007,772158005
240613006,772211009
242037000,702954001
242040000,12242911000119107
242041001,12399531000119102
254837009,134405005
255056009,315277001
255078002,315273002
262599003,787773004
266096002,126421000119107
266257000,473129008
267254000,609427005
269475001,315275009
281560004,315265006
312215006,773116000
312216007,773112003
363354003,315266007
363358000,162573006
363367000,762996008
363443007,762997004
363449006,315272007
363508008,762999001
363514001,397682005
363518003,315270004
371772001,697950003
371774000,12399331000119107
371775004,12399131000119105
371778002,12399371000119105
371779005,12242871000119109
372062007,397614000
372130007,315276005
372244006,734936000
397430003,772150003
398102009,772155008
398447004,12591000132100
399068003,315268008
399326009,315269000
406614006,772156009
408856003,401204006
409498004,772151004
409506009,773115001
414531002,772147001
417357006,473131004
418189009,162596006
418496002,702953007
419052002,397657005
424413001,315261002
428905002,868252007
444557007,12399411000119106
447404002,787774005
473456000,931000122109
609417004,609416008
609429008,609420007
609434007,237149005
609435008,609426001
609436009,609419001
609438005,609424003
700226009,700253008
702563008,702564002
702565001,702566000
723071003,723073000
725052002,725051009
732291000,123381000119108
734932003,734931005
773113008,773114002
783724009,237152002
783726006,237153007
840539006,840544004
12399011000119104,15912911000119102
12399051000119103,12399491000119102
12399091000119108,12399291000119101
